City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Essenbach,DE,2022-01-20 17:57:04,48.6167,12.2167,33.48,83,70,14.29
212,Pattaya,TH,2022-01-20 17:57:05,12.9333,100.8833,83.17,76,91,8.25
213,Pangoa,PE,2022-01-20 17:57:05,-12.1167,-73.0,75.63,72,100,2.71
214,Chone,EC,2022-01-20 17:57:05,-0.6833,-80.1,81.03,76,99,6.15
215,Puerto Escondido,MX,2022-01-20 17:54:35,15.85,-97.0667,83.64,58,0,5.68
216,Kananga,CD,2022-01-20 17:57:05,-5.8958,22.4178,72.0,86,84,1.32
217,Manga,BF,2022-01-20 17:57:06,11.6636,-1.0731,77.79,11,3,8.34
218,Saint Simons,US,2022-01-20 17:57:06,31.1352,-81.3901,73.45,43,0,13.8
219,Santa Fe,AR,2022-01-20 17:56:43,-31.6333,-60.7,102.02,35,0,8.01
220,Buzmeyin,TM,2022-01-20 17:57:06,38.0507,58.2056,33.53,93,100,6.91
221,Rottingdean,GB,2022-01-20 17:57:07,50.8098,-0.0594,40.41,74,20,5.01
222,Beaverlodge,CA,2022-01-20 17:57:07,55.2166,-119.4361,40.05,74,100,18.68
223,San Rafael,AR,2022-01-20 17:56:54,-34.6177,-68.3301,84.74,30,3,8.12
224,Alice Springs,AU,2022-01-20 17:57:07,-23.7,133.8833,81.21,65,100,1.01
225,Muros,ES,2022-01-20 17:57:08,42.7762,-9.0603,55.83,62,1,12.5
226,Coihueco,CL,2022-01-20 17:57:08,-36.6167,-71.8333,72.34,31,0,4.61
227,Codrington,AU,2022-01-20 17:57:08,-38.2667,141.9667,58.19,76,2,7.52
228,Itupiranga,BR,2022-01-20 17:57:09,-5.1347,-49.3267,93.52,57,98,3.09
229,Laramie,US,2022-01-20 17:57:09,41.3114,-105.5911,32.25,70,23,11.41
230,Saldanha,ZA,2022-01-20 17:57:09,-33.0117,17.9442,75.25,83,0,20.42
231,Belaya Gora,RU,2022-01-20 17:58:09,68.5333,146.4167,-44.84,100,65,2.13
232,San Quintin,MX,2022-01-20 17:58:10,30.4833,-115.95,64.11,59,0,3.58
233,Port Moresby,PG,2022-01-20 17:55:16,-9.4431,147.1797,74.62,94,75,5.75
234,Dakar,SN,2022-01-20 17:54:05,14.6937,-17.4441,92.28,61,0,6.91
