City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Sioux Lookout,CA,50.1001,-91.917,-8.59,95,14,6.73,few clouds
279,Fare,PF,-16.7,-151.0167,81.59,77,100,18.7,light rain
280,Oranjestad,AW,12.524,-70.027,79.36,82,11,25.26,few clouds
281,Bogovarovo,RU,58.9785,47.0246,17.8,92,100,10.78,overcast clouds
282,The Valley,AI,18.217,-63.0578,78.1,72,1,22.21,clear sky
283,Zhigansk,RU,66.7697,123.3711,-15.48,97,100,16.58,overcast clouds
284,Bar Harbor,US,44.3876,-68.2039,17.91,61,0,15.99,clear sky
285,Sheltozero,RU,61.3667,35.3667,29.16,92,100,9.48,overcast clouds
286,Barcelona,ES,41.3888,2.159,47.53,76,20,4.0,few clouds
287,Biltine,TD,14.5333,20.9167,60.35,18,0,10.11,clear sky
288,Kirkkonummi,FI,60.1238,24.4385,28.8,95,100,21.32,overcast clouds
289,Taoudenni,ML,22.6783,-3.9836,61.61,20,1,10.07,clear sky
290,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,11.5,light rain
291,Athens,GR,37.9795,23.7162,50.4,81,20,1.01,few clouds
292,Praia,CV,14.9215,-23.5087,72.14,78,75,9.22,broken clouds
293,Ternate,ID,0.8,127.4,81.05,79,100,3.67,overcast clouds
294,San Quintin,MX,30.4833,-115.95,63.64,58,0,5.5,clear sky
295,Weligama,LK,5.9667,80.4167,71.69,86,48,3.02,scattered clouds
296,Sambava,MG,-14.2667,50.1667,75.38,90,100,4.12,overcast clouds
297,Abha,SA,18.2164,42.5053,44.85,93,0,0.0,clear sky
298,Kropotkin,RU,45.4375,40.5756,26.06,88,100,7.74,snow
299,Jining,CN,35.405,116.5814,31.06,44,98,5.59,snow
300,Paciran,ID,-6.8767,112.3761,75.72,86,100,4.29,overcast clouds
301,Turiacu,BR,-1.6633,-45.3717,74.62,93,12,3.96,few clouds
302,Flin Flon,CA,54.7682,-101.865,9.75,83,100,12.55,overcast clouds
303,Pisco,PE,-13.7,-76.2167,69.03,92,38,5.88,scattered clouds
304,Vestmannaeyjar,IS,63.4427,-20.2734,46.29,92,99,26.64,overcast clouds
305,Halden,NO,59.1226,11.3871,35.35,49,4,8.79,clear sky
306,Phalodi,IN,27.1333,72.3667,59.38,47,0,7.72,clear sky
307,Lalsot,IN,26.5667,76.3333,50.67,67,0,6.42,clear sky
308,Ancud,CL,-41.8697,-73.8203,56.73,89,12,11.18,light rain
309,Romny,UA,50.751,33.4747,27.55,97,100,9.95,snow
310,Port Augusta,AU,-32.5,137.7667,89.71,42,100,25.41,overcast clouds
311,Parana,AR,-31.732,-60.5238,87.46,65,0,7.7,clear sky
312,Nyurba,RU,63.2842,118.3319,-8.19,99,100,4.14,overcast clouds
313,Chuguyevka,RU,44.1653,133.8633,-2.04,92,83,1.16,broken clouds
314,Rio Grande,BR,-32.035,-52.0986,76.95,94,31,14.5,scattered clouds
315,Scarborough,GB,54.2797,-0.4044,37.51,82,17,1.01,few clouds
316,Westport,US,41.1415,-73.3579,29.79,56,100,4.0,overcast clouds
317,Nuuk,GL,64.1835,-51.7216,16.88,78,100,11.99,overcast clouds
318,Sonqor,IR,34.7837,47.6004,-2.22,100,98,2.68,overcast clouds
319,Namibe,AO,-15.1961,12.1522,69.35,84,98,5.46,overcast clouds
320,Iralaya,HN,15.0,-83.2333,77.23,84,10,11.14,clear sky
